feature,importance
study_hours,0.48506230976327497
burnout_level,0.22751569148930187
sleep_hours,0.1304715985516358
social_media_hours,0.05246568711711865
gaming_hours,0.030570958688019022
self_study_hours,0.029083585276846003
app_screen_time_min,0.0016439691159163845
mental_health_score,0.0016332778235745712
daily_screen_time_hours,0.0016304093427059292
depression_score,0.001629748210962863
app_youtube_views,0.0016290304925980596
app_youtube_comments,0.0016269519709294676
exercise_minutes,0.0016209870018688503
caffeine_intake_mg,0.00161417881455799
screen_time_hours,0.0016058344675816264
app_youtube_likes,0.0016037519246422014
tech_savviness_score,0.0015947221264948897
online_classes_hours,0.0015824257320670512
daily_steps,0.0015820643228187116
anxiety_score,0.0015761550188068334
push_notifications_per_day,0.0015601959649578696
work_related_usage_hours,0.001559409149377653
streaming_usage_hours,0.0015576160778979626
messaging_usage_hours,0.0015533930310893613
social_media_usage_hours,0.0015485616721694964
phone_unlocks_per_day,0.0014829027111179756
gaming_usage_hours,0.0014807240095075383
physical_activity_level,0.0014550195687599101
heart_rate,0.0012042052971207391
app_interactions,0.0010686626347686302
app_launches,0.0009075172948270656
age,0.0008891540822059873
stress_level_lifestyle,0.0007264372409444138
sleep_quality,0.0007178281995651937
self_reported_addiction_level,0.0005059229784101762
mood_swings,0.0003635568803768038
social_weakness,0.000356758199359833
work_interest,0.0003470357516451507
growing_stress,0.00034643614541218337
coping_struggles,0.00021689262908671832
part_time_job,0.00021489057971835014
upcoming_deadline,0.00021094408236339932
internet_quality_Good,0.00019961781498698246
internet_quality_Average,0.00018922237307457052
academic_level_Undergraduate,0.00018623253514417462
app_is_productive,0.00017791194386174925
gender_Male,0.0001540686677372414
gender_Female,0.00015386553276994705
bmi_category_Overweight,0.00015363034524392357
bmi_category_Normal,0.00015323061425966892
academic_level_High School,0.000151671719895394
internet_quality_Excellent,0.00015123010808840002
academic_level_Postgraduate,0.0001462791634280678
internet_quality_Poor,9.51790866449635e-05
bmi_category_Obese,5.11370700860467e-05
gender_Other,1.9321592374694185e-05
