feature,importance
push_notifications_per_day,0.3793612513229199
anxiety_score,0.28338409479568694
social_media_usage_hours,0.1376467436953285
gaming_usage_hours,0.05469088115727782
depression_score,0.039311604269335436
messaging_usage_hours,0.03049708875771899
screen_time_hours,0.009092982392540801
app_youtube_likes,0.0023787890614705215
online_classes_hours,0.0023683635830844796
burnout_level,0.0023587601100660337
work_related_usage_hours,0.0023526453257266076
daily_steps,0.002342484242632867
focus_index,0.002337322532268405
streaming_usage_hours,0.002331795310241107
exercise_minutes,0.0023105492527888353
self_study_hours,0.002289504728770067
gaming_hours,0.002278618285814608
exam_score,0.002263940611953778
mental_health_score,0.0022495111486734508
caffeine_intake_mg,0.0022453437752941647
productivity_score,0.0022433167682681327
daily_screen_time_hours,0.002222075780711136
app_screen_time_min,0.002221561350264249
tech_savviness_score,0.002219757460760231
sleep_hours,0.0022099268215521007
app_youtube_views,0.002206389485345631
social_media_hours,0.002200196459604977
app_youtube_comments,0.002187379054580876
study_hours,0.002128712541909379
physical_activity_level,0.0020647044258293476
heart_rate,0.0016963924260161836
app_interactions,0.001462604516966377
age,0.0013187754435789192
app_launches,0.0012952857436457728
stress_level_lifestyle,0.000992368601679857
sleep_quality,0.0009284966949629327
self_reported_addiction_level,0.000674386517287573
mood_swings,0.0005164200386017715
social_weakness,0.0005136906834764045
growing_stress,0.0005097371065185565
work_interest,0.00048361815866659023
part_time_job,0.00028661873931583705
coping_struggles,0.0002791985918464502
upcoming_deadline,0.0002767641758020663
internet_quality_Good,0.00026758199241219173
academic_level_Undergraduate,0.00026621228662312627
internet_quality_Average,0.00025250406825321246
app_is_productive,0.0002500516608949089
bmi_category_Overweight,0.00022114676158871652
bmi_category_Normal,0.00022093710486035625
internet_quality_Excellent,0.00021811406522930014
academic_level_High School,0.0002123390717498145
academic_level_Postgraduate,0.00021188932710820678
gender_Female,0.00019672319338618054
gender_Male,0.00019639050108823754
internet_quality_Poor,0.0001367153405098498
bmi_category_Obese,7.255982145618329e-05
gender_Other,4.618285805509763e-05
